,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,19:2,assassinate,True,0,"[14, 8, 3, 19, 13]",0,-0.001,1,1,0,-0.001,0,1
1,19:2,assassinate,True,0,"[14, 8, 3, 19, 13]",0,-0.001,1,1,0,-0.001,0,1
2,"(7,10)",,True,2,"[7, 10, 3, 16, 19]",0,-0.001,1,1,0,-0.001,0,1
3,"(7,10)",,True,2,"[7, 10, 3, 16, 19]",0,-0.001,1,1,0,-0.001,0,1
4,"(13,5)",,True,4,"[13, 5, 9, 11, 17]",0,-0.001,1,1,0,-0.001,0,1
5,"(13,5)",,True,4,"[13, 5, 9, 11, 17]",0,-0.001,1,1,0,-0.001,0,1
6,"(19,2)",,True,6,"[19, 0, 2, 12, 14]",1,0.0,3,3,0,-0.001,0,1
7,"(19,2)",,True,6,"[19, 0, 2, 12, 14]",1,0.0,3,3,0,-0.001,0,1
8,"(9,17)",,True,8,"[9, 17, 15, 12, 2]",1,0.0,5,5,0,-0.001,0,1
9,"(9,17)",,True,8,"[9, 17, 15, 12, 2]",1,0.0,5,5,0,-0.001,0,1
10,6:4,assassinate,True,7,"[6, 13, 11, 3, 16]",0,-0.001,6,6,0,-0.001,0,1
11,6:4,assassinate,True,7,"[6, 13, 11, 3, 16]",0,-0.001,6,6,0,-0.001,0,1
12,"(3,16)",,True,9,"[3, 16, 19, 11, 9]",0,-0.001,6,6,0,-0.001,0,1
13,"(3,16)",,True,9,"[3, 16, 19, 11, 9]",0,-0.001,6,6,0,-0.001,0,1
14,"(1,11)",,True,11,"[1, 11, 19, 13, 15]",0,-0.001,5,6,1,0.0,1,1
15,"(1,11)",,True,11,"[1, 11, 19, 13, 15]",0,-0.001,5,6,1,0.0,1,1
16,6:2,assassinate,True,11,"[5, 17, 19, 15, 6]",0,-0.001,4,6,1,0.0,2,1
17,6:2,assassinate,True,11,"[5, 17, 19, 15, 6]",0,-0.001,4,6,1,0.0,2,1
18,"(5,9)",,True,13,"[5, 9, 2, 15, 10]",1,0.0,4,6,1,0.0,2,1
19,"(5,9)",,True,13,"[5, 9, 2, 15, 10]",1,0.0,4,6,1,0.0,2,1
20,"(1,3)",,True,15,"[15, 1, 3, 11, 12]",1,0.0,3,6,2,0.105263157894736,3,1
21,"(1,3)",,True,15,"[15, 1, 3, 11, 12]",1,0.0,3,6,2,0.105263157894736,3,1
22,"(16,12)",,True,17,"[8, 16, 12, 14, 5]",2,0.07602339181286501,1,6,2,0.19298245614035,5,1
23,"(16,12)",,True,17,"[8, 16, 12, 14, 5]",2,0.07602339181286501,1,6,2,0.19298245614035,5,1
24,"(18,12)",,True,19,"[18, 8, 19, 0, 12]",2,0.08187134502923901,-1,6,2,0.25730994152046704,7,1
25,"(18,12)",,True,19,"[18, 8, 19, 0, 12]",2,0.08187134502923901,-1,6,2,0.25730994152046704,7,1
26,"(4,11)",,True,21,"[4, 11, 0, 5, 13]",2,0.17251461988304,-2,6,2,0.190058479532163,8,1
27,"(4,11)",,True,21,"[4, 11, 0, 5, 13]",2,0.17251461988304,-2,6,2,0.190058479532163,8,1
28,"(1,18)",,True,23,"[13, 6, 1, 18, 19]",2,0.062378167641325005,-2,7,3,0.147173489278752,9,1
29,"(1,18)",,True,23,"[13, 6, 1, 18, 19]",2,0.062378167641325005,-2,7,3,0.147173489278752,9,1
30,2:10,assassinate,True,19,"[1, 11, 4, 7, 2]",1,0.0,-4,7,3,0.26315789473684204,11,1
31,2:10,assassinate,True,19,"[1, 11, 4, 7, 2]",1,0.0,-4,7,3,0.26315789473684204,11,1
32,"(10,1)",,True,21,"[0, 10, 15, 8, 1]",2,0.067251461988304,-6,7,4,0.23976608187134502,13,1
33,"(10,1)",,True,21,"[0, 10, 15, 8, 1]",2,0.067251461988304,-6,7,4,0.23976608187134502,13,1
34,4:6,assassinate,True,19,"[18, 9, 4, 7, 0]",2,0.06822612085769901,-8,7,4,0.276803118908382,15,1
35,4:6,assassinate,True,19,"[18, 9, 4, 7, 0]",2,0.06822612085769901,-8,7,4,0.276803118908382,15,1
36,"(13,19)",,True,21,"[12, 13, 19, 6, 15]",2,0.051656920077972006,-10,7,4,0.140350877192982,17,1
37,"(13,19)",,True,21,"[12, 13, 19, 6, 15]",2,0.051656920077972006,-10,7,4,0.140350877192982,17,1
38,16:8,assassinate,True,18,"[4, 6, 16, 10, 12]",2,0.087719298245614,-12,7,4,0.27485380116959,19,1
39,16:8,assassinate,True,18,"[4, 6, 16, 10, 12]",2,0.087719298245614,-12,7,4,0.27485380116959,19,1
40,"(9,4)",,True,20,"[9, 19, 8, 2, 4]",2,0.09941520467836201,-14,7,4,0.33333333333333304,21,1
41,"(9,4)",,True,20,"[9, 19, 8, 2, 4]",2,0.09941520467836201,-14,7,4,0.33333333333333304,21,1
42,"(16,1)",,True,22,"[9, 16, 4, 1, 7]",2,0.10331384015594501,-16,7,5,0.42884990253411304,23,1
43,"(16,1)",,True,22,"[9, 16, 4, 1, 7]",2,0.10331384015594501,-16,7,5,0.42884990253411304,23,1
44,"(11,8)",,True,24,"[11, 4, 8, 10, 7]",2,0.11988304093567201,-18,7,5,0.39473684210526305,25,1
