,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(13,11)",,True,2,"[13, 11, 2, 5, 19]",0,-0.001,0,0,0,-0.001,0,1
1,"(13,11)",,True,2,"[13, 11, 2, 5, 19]",0,-0.001,0,0,0,-0.001,0,1
2,"(13,15)",,True,4,"[13, 15, 19, 17, 3]",0,-0.001,0,0,0,-0.001,0,1
3,"(13,15)",,True,4,"[13, 15, 19, 17, 3]",0,-0.001,0,0,0,-0.001,0,1
4,"(12,1)",,True,6,"[12, 16, 18, 11, 1]",0,-0.001,-1,0,1,0.0,1,1
5,"(12,1)",,True,6,"[12, 16, 18, 11, 1]",0,-0.001,-1,0,1,0.0,1,1
6,"(17,11)",,True,8,"[17, 11, 7, 12, 15]",0,-0.001,-3,0,1,0.0,3,1
7,"(17,11)",,True,8,"[17, 11, 7, 12, 15]",0,-0.001,-3,0,1,0.0,3,1
8,"(11,18)",,False,10,"[11, 18, 4, 14, 3]",0,-0.001,-5,0,1,0.0,5,1
9,"(11,18)",,False,10,"[11, 18, 4, 14, 3]",0,-0.001,-5,0,1,0.0,5,1
10,18:2,assassinate,True,11,"[18, 14, 19, 0, 9]",2,0.122807017543859,-3,2,1,0.0,5,1
11,18:2,assassinate,True,11,"[18, 14, 19, 0, 9]",2,0.122807017543859,-3,2,1,0.0,5,1
12,15:4,assassinate,True,10,"[5, 17, 2, 7, 15]",2,0.105263157894736,-1,4,1,0.0,5,1
13,15:4,assassinate,True,10,"[5, 17, 2, 7, 15]",2,0.105263157894736,-1,4,1,0.0,5,1
14,"(14,5)",,False,12,"[14, 5, 10, 2, 19]",2,0.140350877192982,1,6,1,0.0,5,1
15,"(14,5)",,False,12,"[14, 5, 10, 2, 19]",2,0.140350877192982,1,6,1,0.0,5,1
16,"(3,5)",,False,14,"[3, 5, 7, 9, 0]",2,0.11988304093567201,3,8,1,0.0,5,1
17,"(3,5)",,False,14,"[3, 5, 7, 9, 0]",2,0.11988304093567201,3,8,1,0.0,5,1
18,"(2,6)",,False,12,"[19, 18, 2, 6, 7]",2,0.210526315789473,5,10,1,0.0,5,1
19,"(2,6)",,False,12,"[19, 18, 2, 6, 7]",2,0.210526315789473,5,10,1,0.0,5,1
20,"(12,13)",,False,14,"[12, 10, 5, 8, 13]",2,0.0,6,11,1,0.0,5,1
21,"(12,13)",,False,14,"[12, 10, 5, 8, 13]",2,0.0,6,11,1,0.0,5,1
22,"(19,1)",,True,16,"[9, 16, 19, 1, 15]",2,0.0,5,11,2,0.070175438596491,6,1
23,"(19,1)",,True,16,"[9, 16, 19, 1, 15]",2,0.0,5,11,2,0.070175438596491,6,1
24,"(13,7)",,False,18,"[13, 0, 7, 2, 11]",2,0.0,3,11,2,0.07602339181286501,8,1
25,"(13,7)",,False,18,"[13, 0, 7, 2, 11]",2,0.0,3,11,2,0.07602339181286501,8,1
26,13:12,assassinate,True,14,"[2, 13, 17, 0, 7]",3,0.09941520467836201,5,13,2,0.029239766081871003,8,1
27,13:12,assassinate,True,14,"[2, 13, 17, 0, 7]",3,0.09941520467836201,5,13,2,0.029239766081871003,8,1
28,"(8,12)",,False,14,"[13, 3, 8, 12, 18]",3,0.020467836257309,7,15,2,0.0029239766081870003,8,1
29,"(8,12)",,False,14,"[13, 3, 8, 12, 18]",3,0.020467836257309,7,15,2,0.0029239766081870003,8,1
30,15:2,assassinate,True,14,"[8, 16, 15, 3, 9]",2,0.0029239766081870003,8,16,2,0.0029239766081870003,8,1
31,15:2,assassinate,True,14,"[8, 16, 15, 3, 9]",2,0.0029239766081870003,8,16,2,0.0029239766081870003,8,1
32,"(19,14)",,False,16,"[19, 14, 0, 7, 16]",3,0.09844054580896601,10,18,2,0.012670565302144,8,1
33,"(19,14)",,False,16,"[19, 14, 0, 7, 16]",3,0.09844054580896601,10,18,2,0.012670565302144,8,1
34,"(19,10)",,True,18,"[19, 13, 10, 5, 3]",3,0.08674463937621801,12,20,2,0.013645224171539001,8,1
35,"(19,10)",,True,18,"[19, 13, 10, 5, 3]",3,0.08674463937621801,12,20,2,0.013645224171539001,8,1
36,9:8,assassinate,True,15,"[9, 18, 15, 12, 13]",3,0.10818713450292301,14,22,2,0.032163742690058006,8,1
37,9:8,assassinate,True,15,"[9, 18, 15, 12, 13]",3,0.10818713450292301,14,22,2,0.032163742690058006,8,1
38,5:6,assassinate,True,13,"[18, 7, 5, 3, 4]",3,0.08187134502923901,16,24,2,0.023391812865497002,8,1
39,5:6,assassinate,True,13,"[18, 7, 5, 3, 4]",3,0.08187134502923901,16,24,2,0.023391812865497002,8,1
40,"(9,15)",,False,14,"[8, 18, 10, 9, 15]",3,0.11111111111111101,18,26,2,0.046783625730994004,8,1
41,"(9,15)",,False,14,"[8, 18, 10, 9, 15]",3,0.11111111111111101,18,26,2,0.046783625730994004,8,1
42,19:10,assassinate,True,10,"[10, 6, 18, 19, 14]",3,0.06432748538011601,20,28,1,0.0,8,1
43,19:10,assassinate,True,10,"[10, 6, 18, 19, 14]",3,0.06432748538011601,20,28,1,0.0,8,1
44,"(3,0)",,True,10,"[3, 5, 14, 7, 0]",2,0.017543859649122,22,30,1,0.0,8,1
45,"(3,0)",,True,10,"[3, 5, 14, 7, 0]",2,0.017543859649122,22,30,1,0.0,8,1
46,6:2,assassinate,True,10,"[11, 5, 6, 3, 10]",2,0.035087719298245,24,32,1,0.0,8,1
47,6:2,assassinate,True,10,"[11, 5, 6, 3, 10]",2,0.035087719298245,24,32,1,0.0,8,1
48,"(8,12)",,False,12,"[16, 8, 6, 14, 12]",2,0.023391812865497002,26,34,1,0.0,8,1
