,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(17,6)",,False,2,"[17, 0, 6, 12, 11]",0,-0.001,0,0,0,-0.001,0,1
1,"(17,6)",,False,2,"[17, 0, 6, 12, 11]",0,-0.001,0,0,0,-0.001,0,1
2,"(8,18)",,False,4,"[8, 18, 10, 6, 3]",0,-0.001,0,0,0,-0.001,0,1
3,"(8,18)",,False,4,"[8, 18, 10, 6, 3]",0,-0.001,0,0,0,-0.001,0,1
4,"(12,5)",,False,6,"[12, 5, 3, 17, 2]",0,-0.001,0,0,0,-0.001,0,1
5,"(12,5)",,False,6,"[12, 5, 3, 17, 2]",0,-0.001,0,0,0,-0.001,0,1
6,"(12,8)",,False,9,"[12, 8, 19, 18, 17]",2,0.017543859649122,2,2,0,-0.001,0,1
7,"(12,8)",,False,9,"[12, 8, 19, 18, 17]",2,0.017543859649122,2,2,0,-0.001,0,1
8,"(1,3)",,False,12,"[1, 17, 19, 3, 15]",2,0.052631578947368,4,4,1,0.0,0,1
9,"(1,3)",,False,12,"[1, 17, 19, 3, 15]",2,0.052631578947368,4,4,1,0.0,0,1
10,"(0,6)",,False,15,"[0, 5, 3, 6, 19]",3,0.070175438596491,6,6,1,0.0,0,1
11,"(0,6)",,False,15,"[0, 5, 3, 6, 19]",3,0.070175438596491,6,6,1,0.0,0,1
12,"(17,15)",,False,18,"[14, 17, 5, 19, 15]",5,0.262183235867446,8,8,1,0.0,0,1
13,"(17,15)",,False,18,"[14, 17, 5, 19, 15]",5,0.262183235867446,8,8,1,0.0,0,1
14,"(4,10)",,False,21,"[12, 4, 9, 10, 16]",5,0.27485380116959,10,10,1,0.0,0,1
15,"(4,10)",,False,21,"[12, 4, 9, 10, 16]",5,0.27485380116959,10,10,1,0.0,0,1
16,3:4,assassinate,True,20,"[1, 3, 18, 5, 14]",4,0.11111111111111101,12,12,0,-0.001,0,1
17,3:4,assassinate,True,20,"[1, 3, 18, 5, 14]",4,0.11111111111111101,12,12,0,-0.001,0,1
18,6:4,assassinate,True,19,"[18, 7, 12, 6, 5]",4,0.17251461988304,14,14,1,0.0,0,1
19,6:4,assassinate,True,19,"[18, 7, 12, 6, 5]",4,0.17251461988304,14,14,1,0.0,0,1
20,"(11,3)",,False,20,"[9, 18, 11, 13, 3]",4,0.210526315789473,16,16,1,0.0,0,1
21,"(11,3)",,False,20,"[9, 18, 11, 13, 3]",4,0.210526315789473,16,16,1,0.0,0,1
22,"(14,17)",,False,18,"[9, 0, 5, 14, 17]",4,0.11111111111111101,18,18,1,0.0,0,1
23,"(14,17)",,False,18,"[9, 0, 5, 14, 17]",4,0.11111111111111101,18,18,1,0.0,0,1
24,"(13,5)",,False,21,"[17, 13, 5, 19, 18]",4,0.21637426900584703,20,20,1,0.0,0,1
25,"(13,5)",,False,21,"[17, 13, 5, 19, 18]",4,0.21637426900584703,20,20,1,0.0,0,1
26,"(11,17)",,False,24,"[19, 11, 17, 16, 13]",6,0.271539961013645,22,22,1,0.0,0,1
27,"(11,17)",,False,24,"[19, 11, 17, 16, 13]",6,0.271539961013645,22,22,1,0.0,0,1
28,"(3,0)",,False,25,"[19, 3, 17, 13, 0]",5,0.294444444444444,24,24,1,0.0,0,1
29,"(3,0)",,False,25,"[19, 3, 17, 13, 0]",5,0.294444444444444,24,24,1,0.0,0,1
30,"(15,14)",,False,26,"[15, 10, 19, 14, 2]",5,0.23830409356725102,26,26,1,0.0,0,1
31,"(15,14)",,False,26,"[15, 10, 19, 14, 2]",5,0.23830409356725102,26,26,1,0.0,0,1
32,"(1,2)",,False,27,"[1, 10, 2, 15, 9]",5,0.362768031189083,28,28,2,0.09834307992202701,0,1
33,"(1,2)",,False,27,"[1, 10, 2, 15, 9]",5,0.362768031189083,28,28,2,0.09834307992202701,0,1
34,"(15,12)",,True,30,"[3, 15, 18, 12, 0]",7,0.387426900584795,30,30,2,0.0,0,1
35,"(15,12)",,True,30,"[3, 15, 18, 12, 0]",7,0.387426900584795,30,30,2,0.0,0,1
36,"(6,5)",,False,29,"[6, 14, 2, 3, 5]",7,0.435185185185185,32,32,2,0.0,0,1
37,"(6,5)",,False,29,"[6, 14, 2, 3, 5]",7,0.435185185185185,32,32,2,0.0,0,1
38,"(7,16)",,False,29,"[7, 13, 0, 9, 16]",7,0.40350877192982404,34,34,2,0.0,0,1
39,"(7,16)",,False,29,"[7, 13, 0, 9, 16]",7,0.40350877192982404,34,34,2,0.0,0,1
40,"(4,18)",,False,29,"[4, 18, 5, 14, 0]",7,0.37231968810916105,36,36,1,0.0,0,1
41,"(4,18)",,False,29,"[4, 18, 5, 14, 0]",7,0.37231968810916105,36,36,1,0.0,0,1
42,"(17,0)",,False,26,"[17, 18, 0, 3, 5]",6,0.37134502923976603,38,38,1,0.0,0,1
43,"(17,0)",,False,26,"[17, 18, 0, 3, 5]",6,0.37134502923976603,38,38,1,0.0,0,1
44,"(0,2)",,False,25,"[9, 18, 3, 0, 2]",6,0.41812865497076,40,40,1,0.0,0,1
45,"(0,2)",,False,25,"[9, 18, 3, 0, 2]",6,0.41812865497076,40,40,1,0.0,0,1
46,"(7,9)",,False,26,"[13, 3, 1, 7, 9]",6,0.351267056530214,42,42,1,0.0,0,1
47,"(7,9)",,False,26,"[13, 3, 1, 7, 9]",6,0.351267056530214,42,42,1,0.0,0,1
48,"(4,17)",,False,25,"[13, 5, 4, 15, 17]",6,0.366471734892787,44,44,1,0.0,0,1
49,"(4,17)",,False,25,"[13, 5, 4, 15, 17]",6,0.366471734892787,44,44,1,0.0,0,1
50,"(19,11)",,False,22,"[14, 19, 5, 11, 3]",6,0.34990253411306005,46,46,1,0.0,0,1
51,"(19,11)",,False,22,"[14, 19, 5, 11, 3]",6,0.34990253411306005,46,46,1,0.0,0,1
52,12:4,assassinate,True,22,"[12, 1, 16, 17, 4]",7,0.35038986354775803,48,48,1,0.0,0,1
53,12:4,assassinate,True,22,"[12, 1, 16, 17, 4]",7,0.35038986354775803,48,48,1,0.0,0,1
54,"(0,2)",,False,23,"[14, 0, 2, 3, 8]",6,0.38840155945419,50,50,1,0.0,0,1
55,"(0,2)",,False,23,"[14, 0, 2, 3, 8]",6,0.38840155945419,50,50,1,0.0,0,1
56,"(0,1)",,False,21,"[0, 5, 1, 14, 6]",5,0.319688109161793,52,52,0,-0.001,0,1
57,"(0,1)",,False,21,"[0, 5, 1, 14, 6]",5,0.319688109161793,52,52,0,-0.001,0,1
58,"(6,8)",,False,24,"[6, 7, 10, 8, 1]",7,0.40643274853801103,54,54,0,-0.001,0,1
59,"(6,8)",,False,24,"[6, 7, 10, 8, 1]",7,0.40643274853801103,54,54,0,-0.001,0,1
