,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(19,18)",,False,2,"[19, 18, 12, 15, 8]",0,-0.001,0,0,0,-0.001,0,1
1,"(19,18)",,False,2,"[19, 18, 12, 15, 8]",0,-0.001,0,0,0,-0.001,0,1
2,"(10,18)",,False,4,"[10, 18, 12, 14, 17]",0,-0.001,0,0,0,-0.001,0,1
3,"(10,18)",,False,4,"[10, 18, 12, 14, 17]",0,-0.001,0,0,0,-0.001,0,1
4,"(17,16)",,False,6,"[17, 0, 16, 2, 13]",0,-0.001,0,0,0,-0.001,0,1
5,"(17,16)",,False,6,"[17, 0, 16, 2, 13]",0,-0.001,0,0,0,-0.001,0,1
6,"(16,15)",,False,8,"[16, 15, 7, 18, 14]",0,-0.001,0,0,0,-0.001,0,1
7,"(16,15)",,False,8,"[16, 15, 7, 18, 14]",0,-0.001,0,0,0,-0.001,0,1
8,"(17,2)",,False,10,"[17, 2, 3, 4, 11]",0,-0.001,0,0,0,-0.001,0,1
9,"(17,2)",,False,10,"[17, 2, 3, 4, 11]",0,-0.001,0,0,0,-0.001,0,1
10,"(8,1)",,False,12,"[8, 19, 0, 6, 1]",0,-0.001,-1,0,1,0.0,1,1
11,"(8,1)",,False,12,"[8, 19, 0, 6, 1]",0,-0.001,-1,0,1,0.0,1,1
12,"(10,1)",,False,14,"[15, 10, 3, 1, 8]",0,-0.001,-3,0,2,0.157894736842105,3,1
13,"(10,1)",,False,14,"[15, 10, 3, 1, 8]",0,-0.001,-3,0,2,0.157894736842105,3,1
14,"(4,5)",,False,14,"[18, 4, 5, 10, 17]",0,-0.001,-5,0,2,0.140350877192982,5,1
15,"(4,5)",,False,14,"[18, 4, 5, 10, 17]",0,-0.001,-5,0,2,0.140350877192982,5,1
16,"(3,5)",,False,16,"[18, 16, 3, 14, 5]",0,-0.001,-7,0,2,0.036062378167641004,7,1
17,"(3,5)",,False,16,"[18, 16, 3, 14, 5]",0,-0.001,-7,0,2,0.036062378167641004,7,1
18,"(14,1)",,False,18,"[14, 17, 10, 11, 1]",0,-0.001,-9,0,3,0.070175438596491,9,1
19,"(14,1)",,False,18,"[14, 17, 10, 11, 1]",0,-0.001,-9,0,3,0.070175438596491,9,1
20,"(3,5)",,False,18,"[16, 3, 15, 0, 5]",0,-0.001,-11,0,3,0.12865497076023302,11,1
21,"(3,5)",,False,18,"[16, 3, 15, 0, 5]",0,-0.001,-11,0,3,0.12865497076023302,11,1
22,"(19,1)",,False,20,"[10, 15, 5, 19, 1]",0,-0.001,-13,0,4,0.074074074074074,13,1
