,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(14,8)",,False,2,"[14, 8, 2, 17, 15]",0,-0.001,0,0,0,-0.001,0,1
1,"(14,8)",,False,2,"[14, 8, 2, 17, 15]",0,-0.001,0,0,0,-0.001,0,1
2,"(18,8)",,False,4,"[18, 8, 3, 10, 6]",0,-0.001,0,0,0,-0.001,0,1
3,"(18,8)",,False,4,"[18, 8, 3, 10, 6]",0,-0.001,0,0,0,-0.001,0,1
4,"(1,17)",,True,6,"[1, 17, 19, 9, 2]",0,-0.001,-1,0,1,0.0,1,1
5,"(1,17)",,True,6,"[1, 17, 19, 9, 2]",0,-0.001,-1,0,1,0.0,1,1
6,"(19,15)",,False,8,"[19, 15, 14, 6, 17]",0,-0.001,-3,0,1,0.0,3,1
7,"(19,15)",,False,8,"[19, 15, 14, 6, 17]",0,-0.001,-3,0,1,0.0,3,1
8,"(13,9)",,True,10,"[13, 9, 0, 7, 11]",0,-0.001,-5,0,1,0.0,5,1
9,"(13,9)",,True,10,"[13, 9, 0, 7, 11]",0,-0.001,-5,0,1,0.0,5,1
10,"(5,11)",,False,12,"[5, 11, 12, 10, 18]",0,-0.001,-7,0,1,0.0,7,1
11,"(5,11)",,False,12,"[5, 11, 12, 10, 18]",0,-0.001,-7,0,1,0.0,7,1
12,"(16,3)",,False,12,"[0, 16, 3, 2, 14]",0,-0.001,-9,0,1,0.0,9,1
13,"(16,3)",,False,12,"[0, 16, 3, 2, 14]",0,-0.001,-9,0,1,0.0,9,1
14,"(2,3)",,False,14,"[2, 3, 19, 4, 9]",0,-0.001,-11,0,1,0.0,11,1
15,"(2,3)",,False,14,"[2, 3, 19, 4, 9]",0,-0.001,-11,0,1,0.0,11,1
16,"(16,12)",,True,16,"[16, 12, 7, 15, 13]",0,-0.001,-13,0,1,0.0,13,1
17,"(16,12)",,True,16,"[16, 12, 7, 15, 13]",0,-0.001,-13,0,1,0.0,13,1
18,"(1,18)",,True,18,"[3, 1, 18, 16, 14]",0,-0.001,-15,0,2,0.210526315789473,15,1
19,"(1,18)",,True,18,"[3, 1, 18, 16, 14]",0,-0.001,-15,0,2,0.210526315789473,15,1
20,"(4,6)",,False,20,"[16, 4, 10, 6, 9]",0,-0.001,-17,0,2,0.12865497076023302,17,1
21,"(4,6)",,False,20,"[16, 4, 10, 6, 9]",0,-0.001,-17,0,2,0.12865497076023302,17,1
22,12:6,assassinate,True,18,"[11, 9, 10, 3, 12]",0,-0.001,-19,0,2,0.245614035087719,19,1
23,12:6,assassinate,True,18,"[11, 9, 10, 3, 12]",0,-0.001,-19,0,2,0.245614035087719,19,1
24,"(6,17)",,False,20,"[6, 4, 17, 13, 9]",0,-0.001,-21,0,2,0.10233918128654901,21,1
25,"(6,17)",,False,20,"[6, 4, 17, 13, 9]",0,-0.001,-21,0,2,0.10233918128654901,21,1
26,"(15,2)",,False,20,"[15, 2, 10, 0, 6]",0,-0.001,-23,0,1,0.0,23,1
27,"(15,2)",,False,20,"[15, 2, 10, 0, 6]",0,-0.001,-23,0,1,0.0,23,1
28,"(13,10)",,False,22,"[13, 0, 10, 14, 7]",0,-0.001,-25,0,1,0.0,25,1
29,"(13,10)",,False,22,"[13, 0, 10, 14, 7]",0,-0.001,-25,0,1,0.0,25,1
30,"(16,15)",,False,24,"[16, 15, 4, 11, 6]",1,0.0,-25,0,1,0.0,25,1
31,"(16,15)",,False,24,"[16, 15, 4, 11, 6]",1,0.0,-25,0,1,0.0,25,1
32,"(10,0)",,True,24,"[10, 9, 4, 17, 0]",1,0.0,-24,1,1,0.0,25,1
33,"(10,0)",,True,24,"[10, 9, 4, 17, 0]",1,0.0,-24,1,1,0.0,25,1
34,"(12,10)",,False,26,"[12, 10, 7, 18, 5]",1,0.0,-24,1,1,0.0,25,1
35,"(12,10)",,False,26,"[12, 10, 7, 18, 5]",1,0.0,-24,1,1,0.0,25,1
36,"(11,3)",,False,28,"[11, 3, 14, 13, 6]",1,0.0,-24,1,1,0.0,25,1
37,"(11,3)",,False,28,"[11, 3, 14, 13, 6]",1,0.0,-24,1,1,0.0,25,1
38,"(12,17)",,False,30,"[12, 17, 11, 5, 7]",1,0.0,-24,1,1,0.0,25,1
39,"(12,17)",,False,30,"[12, 17, 11, 5, 7]",1,0.0,-24,1,1,0.0,25,1
40,"(13,8)",,False,32,"[13, 8, 7, 9, 10]",1,0.0,-24,1,1,0.0,25,1
41,"(13,8)",,False,32,"[13, 8, 7, 9, 10]",1,0.0,-24,1,1,0.0,25,1
42,"(14,3)",,False,34,"[14, 3, 8, 12, 13]",1,0.0,-24,1,1,0.0,25,1
