,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(8,16)",,False,2,"[8, 16, 10, 5, 6]",0,-0.001,0,0,0,-0.001,0,1
1,"(8,16)",,False,2,"[8, 16, 10, 5, 6]",0,-0.001,0,0,0,-0.001,0,1
2,"(12,10)",,True,4,"[12, 10, 8, 3, 18]",0,-0.001,0,0,0,-0.001,0,1
3,"(12,10)",,True,4,"[12, 10, 8, 3, 18]",0,-0.001,0,0,0,-0.001,0,1
4,"(2,5)",,True,6,"[2, 5, 16, 9, 11]",0,-0.001,0,0,0,-0.001,0,1
5,"(2,5)",,True,6,"[2, 5, 16, 9, 11]",0,-0.001,0,0,0,-0.001,0,1
6,"(9,14)",,False,8,"[9, 14, 15, 7, 19]",0,-0.001,0,0,0,-0.001,0,1
7,"(9,14)",,False,8,"[9, 14, 15, 7, 19]",0,-0.001,0,0,0,-0.001,0,1
8,"(18,10)",,False,10,"[18, 10, 16, 11, 14]",0,-0.001,0,0,0,-0.001,0,1
9,"(18,10)",,False,10,"[18, 10, 16, 11, 14]",0,-0.001,0,0,0,-0.001,0,1
10,"(17,16)",,False,12,"[17, 16, 3, 15, 13]",0,-0.001,0,0,0,-0.001,0,1
11,"(17,16)",,False,12,"[17, 16, 3, 15, 13]",0,-0.001,0,0,0,-0.001,0,1
12,"(7,11)",,True,14,"[7, 11, 17, 4, 3]",0,-0.001,0,0,0,-0.001,0,1
13,"(7,11)",,True,14,"[7, 11, 17, 4, 3]",0,-0.001,0,0,0,-0.001,0,1
14,"(2,6)",,False,16,"[2, 6, 7, 3, 13]",0,-0.001,0,0,0,-0.001,0,1
15,"(2,6)",,False,16,"[2, 6, 7, 3, 13]",0,-0.001,0,0,0,-0.001,0,1
16,"(2,1)",,True,16,"[2, 1, 17, 13, 4]",0,-0.001,-1,0,1,0.0,1,1
17,"(2,1)",,True,16,"[2, 1, 17, 13, 4]",0,-0.001,-1,0,1,0.0,1,1
18,"(2,3)",,False,18,"[2, 3, 9, 4, 10]",0,-0.001,-3,0,1,0.0,3,1
19,"(2,3)",,False,18,"[2, 3, 9, 4, 10]",0,-0.001,-3,0,1,0.0,3,1
20,"(14,1)",,False,20,"[4, 18, 14, 2, 1]",0,-0.001,-5,0,2,0.175438596491228,5,1
21,"(14,1)",,False,20,"[4, 18, 14, 2, 1]",0,-0.001,-5,0,2,0.175438596491228,5,1
22,"(1,11)",,False,20,"[1, 19, 13, 2, 11]",0,-0.001,-7,0,3,0.20467836257309902,7,1
23,"(1,11)",,False,20,"[1, 19, 13, 2, 11]",0,-0.001,-7,0,3,0.20467836257309902,7,1
24,"(7,16)",,False,18,"[7, 4, 16, 0, 6]",0,-0.001,-9,0,2,0.05847953216374201,9,1
25,"(7,16)",,False,18,"[7, 4, 16, 0, 6]",0,-0.001,-9,0,2,0.05847953216374201,9,1
26,"(1,0)",,False,18,"[7, 10, 1, 0, 5]",1,0.0,-11,0,2,0.08187134502923901,11,1
27,"(1,0)",,False,18,"[7, 10, 1, 0, 5]",1,0.0,-11,0,2,0.08187134502923901,11,1
