,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(5,1)",,False,2,"[5, 1, 11, 0, 9]",0,-0.001,-1,0,1,0.0,1,1
1,"(5,1)",,False,2,"[5, 1, 11, 0, 9]",0,-0.001,-1,0,1,0.0,1,1
2,"(15,8)",,False,4,"[15, 8, 3, 9, 4]",0,-0.001,-3,0,1,0.0,3,1
3,"(15,8)",,False,4,"[15, 8, 3, 9, 4]",0,-0.001,-3,0,1,0.0,3,1
4,"(10,7)",,False,6,"[10, 0, 7, 6, 16]",0,-0.001,-5,0,1,0.0,5,1
5,"(10,7)",,False,6,"[10, 0, 7, 6, 16]",0,-0.001,-5,0,1,0.0,5,1
6,"(7,16)",,False,8,"[7, 16, 18, 3, 13]",0,-0.001,-7,0,1,0.0,7,1
7,"(7,16)",,False,8,"[7, 16, 18, 3, 13]",0,-0.001,-7,0,1,0.0,7,1
8,"(10,0)",,False,8,"[10, 16, 0, 14, 7]",0,-0.001,-8,0,1,0.0,8,1
9,"(10,0)",,False,8,"[10, 16, 0, 14, 7]",0,-0.001,-8,0,1,0.0,8,1
10,"(4,1)",,False,10,"[3, 4, 18, 8, 1]",0,-0.001,-10,0,2,0.023391812865497002,10,1
11,"(4,1)",,False,10,"[3, 4, 18, 8, 1]",0,-0.001,-10,0,2,0.023391812865497002,10,1
12,"(1,11)",,False,12,"[1, 12, 11, 3, 5]",0,-0.001,-12,0,3,0.175438596491228,12,1
13,"(1,11)",,False,12,"[1, 12, 11, 3, 5]",0,-0.001,-12,0,3,0.175438596491228,12,1
14,"(11,12)",,False,14,"[11, 12, 4, 15, 14]",0,-0.001,-14,0,3,0.11988304093567201,14,1
15,"(11,12)",,False,14,"[11, 12, 4, 15, 14]",0,-0.001,-14,0,3,0.11988304093567201,14,1
16,"(1,6)",,False,16,"[15, 5, 16, 1, 6]",0,-0.001,-16,0,4,0.190058479532163,16,1
17,"(1,6)",,False,16,"[15, 5, 16, 1, 6]",0,-0.001,-16,0,4,0.190058479532163,16,1
18,"(19,4)",,False,18,"[2, 19, 8, 4, 3]",0,-0.001,-18,0,4,0.20467836257309902,18,1
19,"(19,4)",,False,18,"[2, 19, 8, 4, 3]",0,-0.001,-18,0,4,0.20467836257309902,18,1
20,"(3,11)",,False,20,"[17, 3, 11, 12, 8]",0,-0.001,-20,0,4,0.17153996101364502,20,1
21,"(3,11)",,False,20,"[17, 3, 11, 12, 8]",0,-0.001,-20,0,4,0.17153996101364502,20,1
22,"(17,12)",,False,22,"[17, 8, 12, 3, 18]",0,-0.001,-22,0,4,0.15633528265107202,22,1
23,"(17,12)",,False,22,"[17, 8, 12, 3, 18]",0,-0.001,-22,0,4,0.15633528265107202,22,1
24,"(18,0)",,False,22,"[9, 17, 18, 13, 0]",1,0.0,-24,0,4,0.143762183235867,24,1
25,"(18,0)",,False,22,"[9, 17, 18, 13, 0]",1,0.0,-24,0,4,0.143762183235867,24,1
26,"(7,10)",,False,20,"[7, 10, 8, 0, 13]",1,0.0,-26,0,3,0.09356725146198801,26,1
27,"(7,10)",,False,20,"[7, 10, 8, 0, 13]",1,0.0,-26,0,3,0.09356725146198801,26,1
28,"(9,1)",,False,22,"[15, 18, 3, 9, 1]",1,0.0,-28,0,4,0.14828738512949002,28,1
29,"(9,1)",,False,22,"[15, 18, 3, 9, 1]",1,0.0,-28,0,4,0.14828738512949002,28,1
30,"(1,13)",,False,24,"[1, 13, 6, 19, 5]",1,0.0,-30,0,5,0.15204678362573001,30,1
31,"(1,13)",,False,24,"[1, 13, 6, 19, 5]",1,0.0,-30,0,5,0.15204678362573001,30,1
32,"(5,14)",,False,26,"[5, 14, 18, 9, 8]",1,0.0,-32,0,5,0.134502923976608,32,1
33,"(5,14)",,False,26,"[5, 14, 18, 9, 8]",1,0.0,-32,0,5,0.134502923976608,32,1
34,"(3,6)",,False,28,"[3, 5, 8, 9, 6]",1,0.0,-34,0,5,0.12953216374269,34,1
35,"(3,6)",,False,28,"[3, 5, 8, 9, 6]",1,0.0,-34,0,5,0.12953216374269,34,1
36,"(11,3)",,False,28,"[11, 8, 16, 3, 14]",1,0.0,-36,0,5,0.104093567251461,36,1
37,"(11,3)",,False,28,"[11, 8, 16, 3, 14]",1,0.0,-36,0,5,0.104093567251461,36,1
38,"(5,15)",,False,30,"[14, 0, 6, 5, 15]",1,0.0,-38,0,5,0.08776106934001601,38,1
39,"(5,15)",,False,30,"[14, 0, 6, 5, 15]",1,0.0,-38,0,5,0.08776106934001601,38,1
40,"(2,3)",,False,32,"[2, 3, 6, 4, 9]",1,0.0,-40,0,5,0.088262322472848,40,1
41,"(2,3)",,False,32,"[2, 3, 6, 4, 9]",1,0.0,-40,0,5,0.088262322472848,40,1
42,"(15,1)",,False,32,"[10, 15, 1, 13, 18]",1,0.0,-42,0,6,0.210526315789473,42,1
43,"(15,1)",,False,32,"[10, 15, 1, 13, 18]",1,0.0,-42,0,6,0.210526315789473,42,1
