,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(18,13)",,False,2,"[18, 13, 8, 19, 14]",0,-0.001,0,0,0,-0.001,0,1
1,"(18,13)",,False,2,"[18, 13, 8, 19, 14]",0,-0.001,0,0,0,-0.001,0,1
2,"(8,1)",,False,4,"[8, 1, 6, 7, 11]",1,0.0,1,1,1,0.0,0,1
3,"(8,1)",,False,4,"[8, 1, 6, 7, 11]",1,0.0,1,1,1,0.0,0,1
4,"(13,3)",,False,6,"[13, 3, 5, 17, 8]",1,0.0,1,1,1,0.0,0,1
5,"(13,3)",,False,6,"[13, 3, 5, 17, 8]",1,0.0,1,1,1,0.0,0,1
6,"(1,18)",,False,8,"[1, 5, 6, 18, 3]",2,0.029239766081871003,2,2,2,0.029239766081871003,0,1
7,"(1,18)",,False,8,"[1, 5, 6, 18, 3]",2,0.029239766081871003,2,2,2,0.029239766081871003,0,1
8,"(17,18)",,False,10,"[17, 9, 13, 16, 18]",2,0.0,1,2,2,0.035087719298245,1,1
9,"(17,18)",,False,10,"[17, 9, 13, 16, 18]",2,0.0,1,2,2,0.035087719298245,1,1
10,"(8,19)",,False,12,"[8, 19, 14, 5, 18]",3,0.046783625730994004,0,2,2,0.08187134502923901,2,1
11,"(8,19)",,False,12,"[8, 19, 14, 5, 18]",3,0.046783625730994004,0,2,2,0.08187134502923901,2,1
12,"(19,16)",,False,14,"[19, 6, 16, 11, 14]",3,0.06432748538011601,0,3,2,0.07309941520467801,3,1
13,"(19,16)",,False,14,"[19, 6, 16, 11, 14]",3,0.06432748538011601,0,3,2,0.07309941520467801,3,1
14,"(18,11)",,False,16,"[5, 18, 11, 13, 14]",3,0.0029239766081870003,0,4,2,0.013645224171539001,4,1
15,"(18,11)",,False,16,"[5, 18, 11, 13, 14]",3,0.0029239766081870003,0,4,2,0.013645224171539001,4,1
16,"(12,16)",,False,16,"[12, 16, 13, 4, 17]",3,0.0029239766081870003,-2,4,2,0.013645224171539001,6,1
17,"(12,16)",,False,16,"[12, 16, 13, 4, 17]",3,0.0029239766081870003,-2,4,2,0.013645224171539001,6,1
18,"(14,18)",,False,18,"[3, 14, 11, 4, 18]",3,0.0029239766081870003,-4,4,2,0.009746588693957,8,1
19,"(14,18)",,False,18,"[3, 14, 11, 4, 18]",3,0.0029239766081870003,-4,4,2,0.009746588693957,8,1
20,"(5,1)",,False,20,"[11, 5, 6, 1, 15]",4,0.032163742690058006,-4,5,3,0.045808966861598,9,1
21,"(5,1)",,False,20,"[11, 5, 6, 1, 15]",4,0.032163742690058006,-4,5,3,0.045808966861598,9,1
22,"(8,7)",,False,20,"[8, 0, 7, 2, 12]",4,0.08479532163742601,-2,7,2,0.035087719298245,9,1
23,"(8,7)",,False,20,"[8, 0, 7, 2, 12]",4,0.08479532163742601,-2,7,2,0.035087719298245,9,1
24,"(11,5)",,False,22,"[16, 12, 11, 5, 8]",5,0.13157894736842102,0,9,2,0.040935672514619006,9,1
25,"(11,5)",,False,22,"[16, 12, 11, 5, 8]",5,0.13157894736842102,0,9,2,0.040935672514619006,9,1
26,"(8,5)",,False,24,"[8, 7, 16, 12, 5]",5,0.106237816764132,2,11,2,0.003898635477582,9,1
27,"(8,5)",,False,24,"[8, 7, 16, 12, 5]",5,0.106237816764132,2,11,2,0.003898635477582,9,1
