,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(2,15)",,False,2,"[2, 15, 6, 8, 13]",1,0.0,2,2,0,-0.001,0,1
1,"(2,15)",,False,2,"[2, 15, 6, 8, 13]",1,0.0,2,2,0,-0.001,0,1
2,"(18,1)",,True,4,"[18, 19, 2, 3, 1]",2,0.005847953216374001,4,4,1,0.0,0,1
3,"(18,1)",,True,4,"[18, 19, 2, 3, 1]",2,0.005847953216374001,4,4,1,0.0,0,1
4,"(14,2)",,True,6,"[14, 2, 5, 16, 19]",2,0.017543859649122,6,6,1,0.0,0,1
5,"(14,2)",,True,6,"[14, 2, 5, 16, 19]",2,0.017543859649122,6,6,1,0.0,0,1
6,"(19,8)",,False,8,"[19, 8, 3, 16, 18]",3,0.040935672514619006,8,8,1,0.0,0,1
7,"(19,8)",,False,8,"[19, 8, 3, 16, 18]",3,0.040935672514619006,8,8,1,0.0,0,1
8,14:2,assassinate,True,8,"[14, 16, 4, 7, 8]",3,0.06432748538011601,10,10,1,0.0,0,1
9,14:2,assassinate,True,8,"[14, 16, 4, 7, 8]",3,0.06432748538011601,10,10,1,0.0,0,1
10,"(0,9)",,False,8,"[2, 0, 8, 4, 9]",2,0.029239766081871003,12,12,1,0.0,0,1
11,"(0,9)",,False,8,"[2, 0, 8, 4, 9]",2,0.029239766081871003,12,12,1,0.0,0,1
12,"(8,1)",,False,10,"[8, 0, 1, 9, 12]",3,0.09941520467836201,12,13,2,0.122807017543859,1,1
13,"(8,1)",,False,10,"[8, 0, 1, 9, 12]",3,0.09941520467836201,12,13,2,0.122807017543859,1,1
14,"(13,0)",,False,10,"[13, 9, 0, 4, 11]",2,0.005847953216374001,12,14,2,0.017543859649122,2,1
15,"(13,0)",,False,10,"[13, 9, 0, 4, 11]",2,0.005847953216374001,12,14,2,0.017543859649122,2,1
16,"(3,17)",,False,13,"[19, 3, 17, 6, 2]",4,0.157894736842105,14,16,2,0.017543859649122,2,1
17,"(3,17)",,False,13,"[19, 3, 17, 6, 2]",4,0.157894736842105,14,16,2,0.017543859649122,2,1
18,13:6,assassinate,True,12,"[13, 7, 19, 16, 1]",3,0.040935672514619006,14,17,2,0.052631578947368,3,1
19,13:6,assassinate,True,12,"[13, 7, 19, 16, 1]",3,0.040935672514619006,14,17,2,0.052631578947368,3,1
20,"(8,4)",,False,14,"[8, 2, 4, 19, 13]",3,0.228070175438596,16,19,2,0.210526315789473,3,1
21,"(8,4)",,False,14,"[8, 2, 4, 19, 13]",3,0.228070175438596,16,19,2,0.210526315789473,3,1
22,"(1,14)",,False,16,"[8, 1, 19, 5, 14]",3,0.087719298245614,16,20,3,0.19298245614035,4,1
23,"(1,14)",,False,16,"[8, 1, 19, 5, 14]",3,0.087719298245614,16,20,3,0.19298245614035,4,1
24,"(1,5)",,True,18,"[1, 5, 10, 8, 0]",3,0.11111111111111101,14,20,4,0.21637426900584703,6,1
25,"(1,5)",,True,18,"[1, 5, 10, 8, 0]",3,0.11111111111111101,14,20,4,0.21637426900584703,6,1
26,11:6,assassinate,True,16,"[11, 6, 16, 7, 10]",2,0.08187134502923901,12,20,4,0.36257309941520405,8,1
27,11:6,assassinate,True,16,"[11, 6, 16, 7, 10]",2,0.08187134502923901,12,20,4,0.36257309941520405,8,1
28,"(1,2)",,True,18,"[0, 18, 14, 1, 2]",2,0.08187134502923901,10,20,5,0.307504873294346,10,1
29,"(1,2)",,True,18,"[0, 18, 14, 1, 2]",2,0.08187134502923901,10,20,5,0.307504873294346,10,1
30,"(8,16)",,False,20,"[8, 19, 7, 16, 6]",2,0.005847953216374001,8,20,5,0.16861598440545802,12,1
