,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(11,1)",,True,2,"[11, 7, 5, 1, 12]",0,-0.001,-1,0,1,0.0,1,1
1,"(11,1)",,True,2,"[11, 7, 5, 1, 12]",0,-0.001,-1,0,1,0.0,1,1
2,"(1,12)",,False,4,"[15, 1, 4, 0, 12]",0,-0.001,-3,0,2,0.011695906432748001,3,1
3,"(1,12)",,False,4,"[15, 1, 4, 0, 12]",0,-0.001,-3,0,2,0.011695906432748001,3,1
4,"(15,11)",,False,6,"[17, 15, 14, 11, 13]",1,0.0,-5,0,2,0.023391812865497002,5,1
5,"(15,11)",,False,6,"[17, 15, 14, 11, 13]",1,0.0,-5,0,2,0.023391812865497002,5,1
6,"(6,8)",,False,8,"[6, 8, 13, 16, 10]",1,0.0,-7,0,2,0.023391812865497002,7,1
7,"(6,8)",,False,8,"[6, 8, 13, 16, 10]",1,0.0,-7,0,2,0.023391812865497002,7,1
8,"(12,2)",,False,8,"[12, 2, 0, 5, 8]",1,0.0,-9,0,2,0.035087719298245,9,1
9,"(12,2)",,False,8,"[12, 2, 0, 5, 8]",1,0.0,-9,0,2,0.035087719298245,9,1
10,"(5,2)",,True,10,"[5, 13, 2, 0, 10]",1,0.0,-11,0,2,0.070175438596491,11,1
11,"(5,2)",,True,10,"[5, 13, 2, 0, 10]",1,0.0,-11,0,2,0.070175438596491,11,1
12,"(3,15)",,False,12,"[14, 3, 0, 15, 13]",1,0.0,-13,0,2,0.105263157894736,13,1
13,"(3,15)",,False,12,"[14, 3, 0, 15, 13]",1,0.0,-13,0,2,0.105263157894736,13,1
14,"(9,6)",,True,14,"[9, 6, 17, 8, 14]",2,0.140350877192982,-15,0,2,0.19298245614035,15,1
15,"(9,6)",,True,14,"[9, 6, 17, 8, 14]",2,0.140350877192982,-15,0,2,0.19298245614035,15,1
16,"(12,19)",,True,16,"[7, 13, 12, 19, 10]",2,0.065302144249512,-13,2,2,0.038986354775828,15,1
17,"(12,19)",,True,16,"[7, 13, 12, 19, 10]",2,0.065302144249512,-13,2,2,0.038986354775828,15,1
18,"(5,15)",,True,16,"[13, 5, 0, 15, 14]",3,0.12865497076023302,-13,3,2,0.210526315789473,16,1
19,"(5,15)",,True,16,"[13, 5, 0, 15, 14]",3,0.12865497076023302,-13,3,2,0.210526315789473,16,1
20,"(18,5)",,False,18,"[18, 11, 8, 5, 7]",3,0.070175438596491,-15,3,2,0.228070175438596,18,1
21,"(18,5)",,False,18,"[18, 11, 8, 5, 7]",3,0.070175438596491,-15,3,2,0.228070175438596,18,1
22,"(4,5)",,True,20,"[2, 4, 1, 18, 5]",4,0.105263157894736,-17,3,2,0.245614035087719,20,1
23,"(4,5)",,True,20,"[2, 4, 1, 18, 5]",4,0.105263157894736,-17,3,2,0.245614035087719,20,1
24,"(10,15)",,True,20,"[10, 14, 19, 15, 6]",4,0.105263157894736,-19,3,2,0.304093567251461,22,1
25,"(10,15)",,True,20,"[10, 14, 19, 15, 6]",4,0.105263157894736,-19,3,2,0.304093567251461,22,1
26,5:10,assassinate,True,16,"[19, 5, 13, 16, 17]",3,0.178362573099415,-17,5,2,0.096491228070175,22,1
27,5:10,assassinate,True,16,"[19, 5, 13, 16, 17]",3,0.178362573099415,-17,5,2,0.096491228070175,22,1
28,"(9,16)",,False,16,"[9, 5, 19, 16, 2]",3,0.210526315789473,-15,7,2,0.105263157894736,22,1
29,"(9,16)",,False,16,"[9, 5, 19, 16, 2]",3,0.210526315789473,-15,7,2,0.105263157894736,22,1
30,"(18,1)",,False,17,"[12, 18, 10, 1, 13]",3,0.16569200779727,-15,8,3,0.177387914230019,23,1
31,"(18,1)",,False,17,"[12, 18, 10, 1, 13]",3,0.16569200779727,-15,8,3,0.177387914230019,23,1
32,"(14,12)",,True,19,"[3, 11, 7, 14, 12]",3,0.280701754385964,-13,10,3,0.23684210526315702,23,1
33,"(14,12)",,True,19,"[3, 11, 7, 14, 12]",3,0.280701754385964,-13,10,3,0.23684210526315702,23,1
34,"(9,18)",,False,22,"[12, 8, 9, 3, 18]",3,0.24113060428849803,-11,12,3,0.210136452241715,23,1
35,"(9,18)",,False,22,"[12, 8, 9, 3, 18]",3,0.24113060428849803,-11,12,3,0.210136452241715,23,1
36,8:6,assassinate,True,20,"[11, 7, 2, 14, 8]",2,0.025341130604288,-11,13,3,0.37719298245614,24,1
37,8:6,assassinate,True,20,"[11, 7, 2, 14, 8]",2,0.025341130604288,-11,13,3,0.37719298245614,24,1
38,14:6,assassinate,True,18,"[17, 8, 14, 13, 4]",2,0.028265107212475,-13,13,3,0.40935672514619803,26,1
39,14:6,assassinate,True,18,"[17, 8, 14, 13, 4]",2,0.028265107212475,-13,13,3,0.40935672514619803,26,1
40,"(12,17)",,False,18,"[12, 11, 15, 9, 17]",2,0.028265107212475,-15,13,3,0.40935672514619803,28,1
41,"(12,17)",,False,18,"[12, 11, 15, 9, 17]",2,0.028265107212475,-15,13,3,0.40935672514619803,28,1
42,19:4,assassinate,True,17,"[14, 18, 19, 10, 12]",2,0.043859649122807,-17,13,3,0.207602339181286,30,1
43,19:4,assassinate,True,17,"[14, 18, 19, 10, 12]",2,0.043859649122807,-17,13,3,0.207602339181286,30,1
44,"(18,14)",,False,18,"[18, 14, 9, 7, 17]",2,0.05214424951267001,-19,13,3,0.10721247563352801,32,1
45,"(18,14)",,False,18,"[18, 14, 9, 7, 17]",2,0.05214424951267001,-19,13,3,0.10721247563352801,32,1
46,4:6,assassinate,True,14,"[9, 4, 10, 12, 8]",1,0.0,-19,14,2,0.280701754385964,33,1
