,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(15,9)",,False,2,"[15, 9, 6, 5, 17]",0,-0.001,0,0,0,-0.001,0,1
1,"(15,9)",,False,2,"[15, 9, 6, 5, 17]",0,-0.001,0,0,0,-0.001,0,1
2,"(19,2)",,False,4,"[19, 2, 14, 5, 18]",0,-0.001,0,0,0,-0.001,0,1
3,"(19,2)",,False,4,"[19, 2, 14, 5, 18]",0,-0.001,0,0,0,-0.001,0,1
4,"(9,3)",,True,6,"[9, 0, 3, 7, 12]",0,-0.001,0,0,0,-0.001,0,1
5,"(9,3)",,True,6,"[9, 0, 3, 7, 12]",0,-0.001,0,0,0,-0.001,0,1
6,"(5,15)",,False,8,"[5, 15, 10, 13, 18]",0,-0.001,0,0,0,-0.001,0,1
7,"(5,15)",,False,8,"[5, 15, 10, 13, 18]",0,-0.001,0,0,0,-0.001,0,1
8,"(8,1)",,True,10,"[8, 6, 7, 1, 18]",0,-0.001,-1,0,1,0.0,1,1
9,"(8,1)",,True,10,"[8, 6, 7, 1, 18]",0,-0.001,-1,0,1,0.0,1,1
10,"(8,15)",,False,10,"[8, 15, 6, 4, 2]",0,-0.001,-1,0,0,-0.001,1,1
11,"(8,15)",,False,10,"[8, 15, 6, 4, 2]",0,-0.001,-1,0,0,-0.001,1,1
12,"(10,9)",,False,12,"[10, 9, 3, 17, 2]",0,-0.001,-1,0,0,-0.001,1,1
13,"(10,9)",,False,12,"[10, 9, 3, 17, 2]",0,-0.001,-1,0,0,-0.001,1,1
14,"(10,1)",,False,12,"[10, 17, 1, 5, 12]",0,-0.001,-2,0,1,0.0,2,1
15,"(10,1)",,False,12,"[10, 17, 1, 5, 12]",0,-0.001,-2,0,1,0.0,2,1
16,"(5,12)",,False,15,"[16, 6, 5, 12, 10]",2,0.088693957115009,0,2,1,0.0,2,1
17,"(5,12)",,False,15,"[16, 6, 5, 12, 10]",2,0.088693957115009,0,2,1,0.0,2,1
18,"(8,19)",,False,17,"[8, 3, 7, 19, 4]",2,0.034113060428849006,2,4,1,0.0,2,1
19,"(8,19)",,False,17,"[8, 3, 7, 19, 4]",2,0.034113060428849006,2,4,1,0.0,2,1
20,"(9,8)",,True,19,"[0, 3, 9, 11, 8]",2,0.016569200779727,4,6,1,0.0,2,1
21,"(9,8)",,True,19,"[0, 3, 9, 11, 8]",2,0.016569200779727,4,6,1,0.0,2,1
22,"(13,5)",,False,20,"[13, 3, 14, 5, 11]",2,0.009746588693957,6,8,1,0.0,2,1
23,"(13,5)",,False,20,"[13, 3, 14, 5, 11]",2,0.009746588693957,6,8,1,0.0,2,1
24,"(4,5)",,False,21,"[13, 4, 10, 5, 14]",2,0.008771929824561,8,10,1,0.0,2,1
25,"(4,5)",,False,21,"[13, 4, 10, 5, 14]",2,0.008771929824561,8,10,1,0.0,2,1
26,"(15,0)",,False,22,"[16, 8, 12, 15, 0]",1,0.0,9,11,1,0.0,2,1
27,"(15,0)",,False,22,"[16, 8, 12, 15, 0]",1,0.0,9,11,1,0.0,2,1
28,"(9,2)",,False,25,"[17, 9, 2, 7, 12]",3,0.11988304093567201,11,13,1,0.0,2,1
29,"(9,2)",,False,25,"[17, 9, 2, 7, 12]",3,0.11988304093567201,11,13,1,0.0,2,1
30,"(0,19)",,False,26,"[0, 19, 7, 13, 4]",4,0.23391812865497003,13,15,1,0.0,2,1
31,"(0,19)",,False,26,"[0, 19, 7, 13, 4]",4,0.23391812865497003,13,15,1,0.0,2,1
32,"(7,3)",,False,28,"[7, 3, 0, 19, 9]",4,0.23391812865497003,15,17,1,0.0,2,1
33,"(7,3)",,False,28,"[7, 3, 0, 19, 9]",4,0.23391812865497003,15,17,1,0.0,2,1
34,"(14,1)",,False,30,"[11, 14, 5, 1, 8]",4,0.23684210526315702,17,19,2,0.062378167641325005,2,1
35,"(14,1)",,False,30,"[11, 14, 5, 1, 8]",4,0.23684210526315702,17,19,2,0.062378167641325005,2,1
36,"(19,16)",,False,31,"[15, 19, 16, 5, 17]",4,0.169980506822612,19,21,1,0.0,2,1
37,"(19,16)",,False,31,"[15, 19, 16, 5, 17]",4,0.169980506822612,19,21,1,0.0,2,1
38,"(13,15)",,False,32,"[0, 13, 14, 12, 15]",5,0.22563352826510702,21,23,1,0.0,2,1
39,"(13,15)",,False,32,"[0, 13, 14, 12, 15]",5,0.22563352826510702,21,23,1,0.0,2,1
40,"(18,0)",,False,31,"[18, 0, 11, 16, 15]",4,0.10087719298245601,23,25,1,0.0,2,1
41,"(18,0)",,False,31,"[18, 0, 11, 16, 15]",4,0.10087719298245601,23,25,1,0.0,2,1
42,"(15,3)",,False,32,"[15, 12, 14, 11, 3]",4,0.078947368421052,25,27,1,0.0,2,1
43,"(15,3)",,False,32,"[15, 12, 14, 11, 3]",4,0.078947368421052,25,27,1,0.0,2,1
44,"(3,2)",,False,35,"[3, 4, 12, 13, 2]",6,0.314230019493177,27,29,1,0.0,2,1
45,"(3,2)",,False,35,"[3, 4, 12, 13, 2]",6,0.314230019493177,27,29,1,0.0,2,1
46,18:4,assassinate,True,33,"[18, 19, 6, 2, 5]",5,0.12124756335282601,29,31,0,-0.001,2,1
47,18:4,assassinate,True,33,"[18, 19, 6, 2, 5]",5,0.12124756335282601,29,31,0,-0.001,2,1
48,"(10,0)",,False,32,"[10, 4, 7, 6, 0]",4,0.081384015594541,31,33,1,0.0,2,1
49,"(10,0)",,False,32,"[10, 4, 7, 6, 0]",4,0.081384015594541,31,33,1,0.0,2,1
50,"(14,6)",,False,35,"[16, 2, 14, 6, 18]",6,0.141812865497076,33,35,1,0.0,2,1
51,"(14,6)",,False,35,"[16, 2, 14, 6, 18]",6,0.141812865497076,33,35,1,0.0,2,1
52,"(13,16)",,False,35,"[13, 18, 2, 16, 3]",6,0.128362573099415,35,37,1,0.0,2,1
53,"(13,16)",,False,35,"[13, 18, 2, 16, 3]",6,0.128362573099415,35,37,1,0.0,2,1
54,"(18,1)",,False,34,"[18, 0, 11, 1, 4]",6,0.147953216374269,37,39,2,0.105263157894736,2,1
55,"(18,1)",,False,34,"[18, 0, 11, 1, 4]",6,0.147953216374269,37,39,2,0.105263157894736,2,1
56,"(2,7)",,False,36,"[2, 7, 6, 19, 14]",6,0.133333333333333,39,41,2,0.105263157894736,2,1
57,"(2,7)",,False,36,"[2, 7, 6, 19, 14]",6,0.133333333333333,39,41,2,0.105263157894736,2,1
58,6:12,assassinate,True,30,"[0, 6, 12, 3, 19]",5,0.13859649122807002,41,43,2,0.09941520467836201,2,1
59,6:12,assassinate,True,30,"[0, 6, 12, 3, 19]",5,0.13859649122807002,41,43,2,0.09941520467836201,2,1
60,"(15,10)",,False,29,"[19, 15, 5, 4, 10]",5,0.18869395711500903,43,45,2,0.09941520467836201,2,1
61,"(15,10)",,False,29,"[19, 15, 5, 4, 10]",5,0.18869395711500903,43,45,2,0.09941520467836201,2,1
62,"(8,16)",,False,29,"[1, 18, 8, 16, 13]",5,0.186647173489278,45,47,2,0.09941520467836201,2,1
63,"(8,16)",,False,29,"[1, 18, 8, 16, 13]",5,0.186647173489278,45,47,2,0.09941520467836201,2,1
64,"(10,0)",,False,27,"[10, 0, 18, 15, 1]",4,0.12076023391812801,47,49,2,0.09941520467836201,2,1
65,"(10,0)",,False,27,"[10, 0, 18, 15, 1]",4,0.12076023391812801,47,49,2,0.09941520467836201,2,1
66,"(15,16)",,False,30,"[15, 10, 12, 16, 13]",4,0.10087719298245601,49,51,2,0.017056530214424,2,1
67,"(15,16)",,False,30,"[15, 10, 12, 16, 13]",4,0.10087719298245601,49,51,2,0.017056530214424,2,1
68,"(1,2)",,True,33,"[1, 13, 19, 7, 2]",6,0.167868745938921,51,53,3,0.041098115659519006,2,1
69,"(1,2)",,True,33,"[1, 13, 19, 7, 2]",6,0.167868745938921,51,53,3,0.041098115659519006,2,1
70,"(15,12)",,False,34,"[5, 15, 12, 9, 13]",6,0.160540239487607,53,55,3,0.043511556669451,2,1
71,"(15,12)",,False,34,"[5, 15, 12, 9, 13]",6,0.160540239487607,53,55,3,0.043511556669451,2,1
72,"(3,13)",,False,37,"[18, 10, 16, 3, 13]",6,0.150974658869395,55,57,3,0.034600389863547,2,1
73,"(3,13)",,False,37,"[18, 10, 16, 3, 13]",6,0.150974658869395,55,57,3,0.034600389863547,2,1
74,18:8,assassinate,True,33,"[18, 13, 4, 6, 15]",5,0.097465886939571,57,59,2,0.011695906432748001,2,1
75,18:8,assassinate,True,33,"[18, 13, 4, 6, 15]",5,0.097465886939571,57,59,2,0.011695906432748001,2,1
76,"(11,6)",,False,35,"[11, 2, 17, 6, 18]",5,0.09551656920077901,59,61,2,0.011695906432748001,2,1
77,"(11,6)",,False,35,"[11, 2, 17, 6, 18]",5,0.09551656920077901,59,61,2,0.011695906432748001,2,1
78,"(10,1)",,False,34,"[0, 2, 13, 10, 1]",5,0.10467836257309901,61,63,3,0.036452241715399,2,1
79,"(10,1)",,False,34,"[0, 2, 13, 10, 1]",5,0.10467836257309901,61,63,3,0.036452241715399,2,1
80,"(1,17)",,False,33,"[12, 1, 17, 10, 4]",5,0.12953216374269,63,65,3,0.054775828460038006,2,1
81,"(1,17)",,False,33,"[12, 1, 17, 10, 4]",5,0.12953216374269,63,65,3,0.054775828460038006,2,1
82,"(14,0)",,False,30,"[4, 14, 0, 15, 16]",4,0.06695906432748501,63,66,3,0.07699805068226101,3,1
83,"(14,0)",,False,30,"[4, 14, 0, 15, 16]",4,0.06695906432748501,63,66,3,0.07699805068226101,3,1
84,"(1,16)",,False,33,"[10, 9, 1, 6, 16]",4,0.062573099415204,63,67,4,0.08576998050682201,4,1
85,"(1,16)",,False,33,"[10, 9, 1, 6, 16]",4,0.062573099415204,63,67,4,0.08576998050682201,4,1
86,3:6,assassinate,True,32,"[3, 14, 19, 16, 13]",3,0.019200779727095,61,67,4,0.085185185185185,6,1
87,3:6,assassinate,True,32,"[3, 14, 19, 16, 13]",3,0.019200779727095,61,67,4,0.085185185185185,6,1
88,"(11,6)",,False,33,"[11, 19, 6, 3, 14]",3,0.019200779727095,59,67,4,0.063840155945419,8,1
89,"(11,6)",,False,33,"[11, 19, 6, 3, 14]",3,0.019200779727095,59,67,4,0.063840155945419,8,1
90,"(5,1)",,False,34,"[5, 13, 3, 15, 1]",4,0.064814814814814,59,68,5,0.125536062378167,9,1
91,"(5,1)",,False,34,"[5, 13, 3, 15, 1]",4,0.064814814814814,59,68,5,0.125536062378167,9,1
92,12:14,assassinate,True,29,"[9, 5, 4, 0, 12]",3,0.019493177387914,57,68,5,0.094054580896686,11,1
93,12:14,assassinate,True,29,"[9, 5, 4, 0, 12]",3,0.019493177387914,57,68,5,0.094054580896686,11,1
94,"(5,4)",,True,32,"[15, 5, 4, 0, 10]",3,0.016569200779727,55,68,5,0.118908382066276,13,1
95,"(5,4)",,True,32,"[15, 5, 4, 0, 10]",3,0.016569200779727,55,68,5,0.118908382066276,13,1
96,"(10,12)",,False,35,"[13, 14, 10, 12, 7]",3,0.026315789473684,53,68,5,0.13352826510721202,15,1
97,"(10,12)",,False,35,"[13, 14, 10, 12, 7]",3,0.026315789473684,53,68,5,0.13352826510721202,15,1
98,"(5,13)",,False,36,"[5, 11, 1, 16, 13]",5,0.097855750487329,51,68,5,0.21588693957115002,17,1
99,"(5,13)",,False,36,"[5, 11, 1, 16, 13]",5,0.097855750487329,51,68,5,0.21588693957115002,17,1
100,"(1,9)",,True,39,"[17, 5, 1, 9, 16]",5,0.167446393762183,53,70,6,0.14727095516569202,17,1
101,"(1,9)",,True,39,"[17, 5, 1, 9, 16]",5,0.167446393762183,53,70,6,0.14727095516569202,17,1
102,"(3,5)",,False,42,"[6, 3, 10, 15, 5]",5,0.11905458089668601,55,72,6,0.098732943469785,17,1
103,"(3,5)",,False,42,"[6, 3, 10, 15, 5]",5,0.11905458089668601,55,72,6,0.098732943469785,17,1
104,"(10,15)",,False,43,"[8, 10, 6, 13, 15]",5,0.11492620439988802,57,74,6,0.06228070175438501,17,1
105,"(10,15)",,False,43,"[8, 10, 6, 13, 15]",5,0.11492620439988802,57,74,6,0.06228070175438501,17,1
106,16:12,assassinate,True,35,"[16, 19, 14, 7, 18]",4,0.10799220272904402,59,76,4,0.010916179337231002,17,1
107,16:12,assassinate,True,35,"[16, 19, 14, 7, 18]",4,0.10799220272904402,59,76,4,0.010916179337231002,17,1
108,"(4,10)",,False,38,"[4, 7, 0, 11, 10]",6,0.143024227234753,61,78,4,0.013255360623781002,17,1
109,"(4,10)",,False,38,"[4, 7, 0, 11, 10]",6,0.143024227234753,61,78,4,0.013255360623781002,17,1
110,12:10,assassinate,True,35,"[1, 13, 4, 12, 11]",7,0.116276803118908,63,80,4,0.017738791423001003,17,1
111,12:10,assassinate,True,35,"[1, 13, 4, 12, 11]",7,0.116276803118908,63,80,4,0.017738791423001003,17,1
112,"(2,15)",,False,38,"[17, 2, 19, 10, 15]",7,0.136104149262043,65,82,4,0.017738791423001003,17,1
113,"(2,15)",,False,38,"[17, 2, 19, 10, 15]",7,0.136104149262043,65,82,4,0.017738791423001003,17,1
114,"(7,18)",,False,37,"[10, 11, 7, 9, 18]",7,0.19181286549707602,67,84,4,0.017738791423001003,17,1
115,"(7,18)",,False,37,"[10, 11, 7, 9, 18]",7,0.19181286549707602,67,84,4,0.017738791423001003,17,1
116,"(8,12)",,False,37,"[10, 8, 6, 19, 12]",7,0.150097465886939,69,86,3,0.007797270955165,17,1
117,"(8,12)",,False,37,"[10, 8, 6, 19, 12]",7,0.150097465886939,69,86,3,0.007797270955165,17,1
118,"(7,14)",,False,40,"[5, 12, 10, 7, 14]",7,0.16072124756335202,71,88,3,0.006042884990253,17,1
119,"(7,14)",,False,40,"[5, 12, 10, 7, 14]",7,0.16072124756335202,71,88,3,0.006042884990253,17,1
