,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(3,1)",,False,2,"[3, 10, 1, 13, 16]",0,-0.001,-1,0,1,0.0,1,1
1,"(3,1)",,False,2,"[3, 10, 1, 13, 16]",0,-0.001,-1,0,1,0.0,1,1
2,"(11,12)",,False,4,"[11, 12, 14, 18, 4]",1,0.0,-1,0,1,0.0,1,1
3,"(11,12)",,False,4,"[11, 12, 14, 18, 4]",1,0.0,-1,0,1,0.0,1,1
4,"(5,12)",,True,6,"[5, 12, 15, 8, 19]",1,0.0,-1,0,1,0.0,1,1
5,"(5,12)",,True,6,"[5, 12, 15, 8, 19]",1,0.0,-1,0,1,0.0,1,1
6,"(10,18)",,False,9,"[4, 7, 10, 12, 18]",3,0.023391812865497002,1,2,1,0.0,1,1
7,"(10,18)",,False,9,"[4, 7, 10, 12, 18]",3,0.023391812865497002,1,2,1,0.0,1,1
8,18:8,assassinate,True,6,"[9, 18, 10, 12, 16]",2,0.011695906432748001,3,4,1,0.0,1,1
9,18:8,assassinate,True,6,"[9, 18, 10, 12, 16]",2,0.011695906432748001,3,4,1,0.0,1,1
10,"(4,3)",,True,8,"[4, 3, 16, 11, 17]",2,0.011695906432748001,5,6,1,0.0,1,1
11,"(4,3)",,True,8,"[4, 3, 16, 11, 17]",2,0.011695906432748001,5,6,1,0.0,1,1
12,"(8,1)",,False,10,"[16, 8, 7, 1, 17]",2,0.035087719298245,5,7,2,0.070175438596491,2,1
13,"(8,1)",,False,10,"[16, 8, 7, 1, 17]",2,0.035087719298245,5,7,2,0.070175438596491,2,1
14,"(8,11)",,True,10,"[8, 17, 6, 10, 11]",2,0.052631578947368,3,7,2,0.09356725146198801,4,1
15,"(8,11)",,True,10,"[8, 17, 6, 10, 11]",2,0.052631578947368,3,7,2,0.09356725146198801,4,1
16,"(4,1)",,True,12,"[4, 17, 1, 12, 13]",3,0.070175438596491,3,8,3,0.11695906432748501,5,1
17,"(4,1)",,True,12,"[4, 17, 1, 12, 13]",3,0.070175438596491,3,8,3,0.11695906432748501,5,1
18,5:6,assassinate,True,11,"[18, 16, 5, 15, 6]",4,0.070175438596491,5,10,3,0.05847953216374201,5,1
19,5:6,assassinate,True,11,"[18, 16, 5, 15, 6]",4,0.070175438596491,5,10,3,0.05847953216374201,5,1
