,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(5,2)",,True,2,"[5, 2, 11, 6, 14]",0,-0.001,0,0,0,-0.001,0,1
1,"(5,2)",,True,2,"[5, 2, 11, 6, 14]",0,-0.001,0,0,0,-0.001,0,1
2,"(2,1)",,True,4,"[2, 1, 15, 18, 10]",0,-0.001,-1,0,1,0.0,1,1
3,"(2,1)",,True,4,"[2, 1, 15, 18, 10]",0,-0.001,-1,0,1,0.0,1,1
4,"(6,11)",,True,6,"[6, 11, 16, 18, 15]",0,-0.001,-3,0,1,0.0,3,1
5,"(6,11)",,True,6,"[6, 11, 16, 18, 15]",0,-0.001,-3,0,1,0.0,3,1
6,13:2,assassinate,True,6,"[12, 13, 2, 14, 17]",0,-0.001,-4,0,1,0.0,4,1
7,13:2,assassinate,True,6,"[12, 13, 2, 14, 17]",0,-0.001,-4,0,1,0.0,4,1
8,"(19,16)",,True,8,"[19, 16, 15, 10, 2]",0,-0.001,-6,0,1,0.0,6,1
9,"(19,16)",,True,8,"[19, 16, 15, 10, 2]",0,-0.001,-6,0,1,0.0,6,1
10,"(10,8)",,True,10,"[10, 0, 8, 7, 12]",0,-0.001,-8,0,1,0.0,8,1
11,"(10,8)",,True,10,"[10, 0, 8, 7, 12]",0,-0.001,-8,0,1,0.0,8,1
12,"(1,0)",,True,12,"[1, 17, 0, 11, 7]",1,0.0,-10,0,2,0.046783625730994004,10,1
13,"(1,0)",,True,12,"[1, 17, 0, 11, 7]",1,0.0,-10,0,2,0.046783625730994004,10,1
14,"(10,2)",,True,12,"[0, 10, 2, 17, 9]",1,0.0,-10,0,1,0.0,10,1
15,"(10,2)",,True,12,"[0, 10, 2, 17, 9]",1,0.0,-10,0,1,0.0,10,1
16,"(0,16)",,True,12,"[2, 17, 8, 0, 16]",1,0.0,-9,1,1,0.0,10,1
17,"(0,16)",,True,12,"[2, 17, 8, 0, 16]",1,0.0,-9,1,1,0.0,10,1
18,"(15,2)",,True,14,"[15, 2, 6, 14, 8]",1,0.0,-9,1,1,0.0,10,1
19,"(15,2)",,True,14,"[15, 2, 6, 14, 8]",1,0.0,-9,1,1,0.0,10,1
