,actionDetail,actionType,bonusActivated,graphEdgeCount,nodeList,p1Degree,p1Score,p1WinAdvantage,p1WinCount,p2Degree,p2Score,p2WinCount,player
0,"(4,3)",,True,2,"[4, 3, 13, 12, 19]",0,-0.001,0,0,0,-0.001,0,1
1,"(4,3)",,True,2,"[4, 3, 13, 12, 19]",0,-0.001,0,0,0,-0.001,0,1
2,9:2,assassinate,True,3,"[18, 9, 8, 14, 4]",1,0.0,2,2,0,-0.001,0,1
3,9:2,assassinate,True,3,"[18, 9, 8, 14, 4]",1,0.0,2,2,0,-0.001,0,1
4,"(10,18)",,True,5,"[10, 18, 12, 2, 3]",1,0.0,4,4,0,-0.001,0,1
5,"(10,18)",,True,5,"[10, 18, 12, 2, 3]",1,0.0,4,4,0,-0.001,0,1
6,"(3,1)",,True,7,"[3, 10, 2, 1, 8]",1,0.0,5,5,1,0.0,0,1
7,"(3,1)",,True,7,"[3, 10, 2, 1, 8]",1,0.0,5,5,1,0.0,0,1
8,16:4,assassinate,True,6,"[15, 10, 8, 16, 11]",1,0.0,6,6,1,0.0,0,1
9,16:4,assassinate,True,6,"[15, 10, 8, 16, 11]",1,0.0,6,6,1,0.0,0,1
10,3:8,assassinate,True,3,"[5, 7, 3, 1, 4]",1,0.0,8,8,0,-0.001,0,1
11,3:8,assassinate,True,3,"[5, 7, 3, 1, 4]",1,0.0,8,8,0,-0.001,0,1
12,"(17,5)",,True,5,"[17, 5, 13, 16, 19]",1,0.0,10,10,0,-0.001,0,1
13,"(17,5)",,True,5,"[17, 5, 13, 16, 19]",1,0.0,10,10,0,-0.001,0,1
14,"(2,5)",,True,7,"[2, 5, 8, 0, 17]",1,0.0,12,12,0,-0.001,0,1
15,"(2,5)",,True,7,"[2, 5, 8, 0, 17]",1,0.0,12,12,0,-0.001,0,1
16,"(12,6)",,True,9,"[12, 6, 14, 11, 13]",1,0.0,14,14,0,-0.001,0,1
17,"(12,6)",,True,9,"[12, 6, 14, 11, 13]",1,0.0,14,14,0,-0.001,0,1
18,"(19,1)",,True,11,"[19, 8, 4, 13, 1]",1,0.0,15,15,1,0.0,0,1
19,"(19,1)",,True,11,"[19, 8, 4, 13, 1]",1,0.0,15,15,1,0.0,0,1
