N   p      add    remove
20  0.46  0.166  0.912
20  0.48  0.152  0.678
20  0.50  0.063  0.836
20  0.52  0.100  0.544
20  0.54  0.093  0.678
20  0.56  0.102  0.778
20  0.58  0.116  0.678
20  0.60  0.056  0.614
20  0.62  0.041  0.789
20  0.64  0.051  0.737
20  0.66  0.047  0.789
20  0.68  0.047  0.836
20  0.70  0.032  0.965
20  0.72  0.056  0.912
20  0.74  0.028  0.836
20  0.76  0.022  0.912
20  0.78  0.025  0.836
20  0.80  0.020  0.942
20  0.82  0.015  0.912
20  0.84  0.013  0.994
20  0.86  0.006  0.994
20  0.88  0.007  0.994
20  0.90  0.004  0.994
20  0.92  0.004  1.000
20  0.94  0.004  0.982
20  0.96  0.002  1.000
20  0.98  0.002  1.000
20  1.00  0.000  1.000
